"Male" "Female"
"circular" 1 0
"citadel" 14 4
"cities" 45 23
"citizen" 1 2
"citytyrion" 1 0
"civil" 2 0
"claim" 14 4
"claimramsay" 0 1
"claimyara" 1 0
"clams" 0 4
"clan" 2 0
"clap" 2 0
"clarification" 1 0
"claws" 1 1
"clean" 9 4
"clear" 12 6
"clegane" 4 3
"cleganesandor" 1 0
"clever" 3 6
"clientele" 0 1
"cliff" 5 2
"cliffstyrion" 0 1
"climate" 2 1
"climb" 9 4
"clink" 3 0
"cloak" 8 4
"close" 27 15
"closer" 12 4
"closesons" 1 0
"closest" 2 0
"closeup" 1 0
"cloth" 14 1
"clothestheon" 1 0
"clouds" 0 1
"clovis" 1 0
"club" 0 4
"clutches" 0 1
"coals" 1 0
"coast" 3 0
"coat" 4 2
"cock" 4 0
"cockfighting" 0 1
"cockles" 0 2
"cocksuckers" 1 0
"code" 1 1
"coffin" 1 0
"coils" 2 0
"coin" 5 7
"cold" 10 4
"collapse" 4 4
"collar" 2 0
"colleague" 1 0
"collect" 3 0
"color" 1 1
"colorcersei" 0 1
"columns" 0 2
"combat" 5 2
"combatmalko" 1 0
"combined" 3 0
"come" 159 61
"comearya" 2 0
"comesbenjen" 1 0
"comestannis" 2 0
"comet" 2 1
"comfort" 1 2
"command" 63 17
"commandertyrion" 1 0
"commence" 1 0
"comment" 0 1
"commerce" 1 0
"commit" 2 2
"common" 12 8
"communicate" 0 2
"companion" 9 1
"compass" 2 0
"compels" 0 1
"compensated" 1 0
"competition" 1 0
"complain" 3 1
"complaints" 0 1
"complete" 4 4
"complicated" 7 1
"comport" 1 0
"concept" 0 1
"concern" 6 5
"concernedcut" 1 0
"concessions" 0 1
"conclave" 1 0
"conditionjaime" 1 0
"condolences" 2 1
"confess" 6 8
"confesscersei" 0 2
"confidant" 1 2
"confirmation" 0 1
"conflict" 1 0
"confront" 3 1
"confuse" 3 2
"congratulations" 1 0
"connect" 0 1
"conquer" 8 1
"conqueror" 5 0
"conquest" 1 0
"consciousness" 0 1
"consent" 1 1
"consequences" 2 2
"consider" 6 4
"console" 0 1
"conspicuousdaario" 1 0
"conspire" 1 3
"constant" 0 1
"consume" 2 2
"contact" 2 1
"contain" 2 2
"contempt" 1 0
"content" 2 0
"continue" 20 14
"continuesqyburn" 1 0
"contract" 0 1
"contributed" 0 1
"control" 5 4
"conundrum" 1 0
"convenient" 2 0
"converge" 2 1
"conversation" 5 2
"conversationtyrion" 1 0
"convince" 9 0
"convulses" 1 1
"convulsescut" 0 1
"cook" 2 0
"cooper" 2 0
"copies" 2 0
"coppersarya" 0 1
"cork" 1 0
"corner" 4 1
"coronation" 1 0
"corpse" 3 3
"corpsecut" 1 0
"corpsey" 1 0
"correctlyedmure" 1 0
"corrects" 0 1
"cost" 1 0
"cot" 0 1
"coucil" 0 1
"cough" 2 2
"couldnt" 4 2
"couldve" 0 1
"council" 10 11
"counciljaime" 1 0
"counsel" 2 3
"counseleveryone" 0 1
"counselorolen" 0 1
"counselors" 0 2
"count" 4 2
"countryshae" 1 0
"countryside" 3 0
"countrysidebronn" 1 0
"countrytyrion" 1 0
"couple" 2 0
"courage" 1 2
"couragebrienne" 0 1
"course" 33 13
"coursecersei" 1 0
"court" 2 2
"courtcersei" 1 0
"courtyard" 17 7
"courtyarda" 0 2
"courtyardcersei" 0 1
"courtyarddolorous" 1 0
"courtyardjon" 1 0
"courtyardlannister" 1 0
"courtyardpodrick" 1 0
"courtyardsansa" 1 0
"courtyardseveral" 0 1
"courtyardyoung" 0 1
"cousin" 9 2
"cover" 15 7
"coward" 1 1
"cower" 3 1
"crab" 2 0
"crabbers" 1 0
"crack" 0 2
"crackles" 1 0
"crag" 1 0
"crane" 1 8
"cranearya" 0 2
"crash" 0 1
"craster" 3 1
"crate" 2 0
"crawl" 8 1
"create" 2 1
"creature" 2 1
"cressen" 5 2
"crestfallen" 1 0
"crib" 9 6
"crime" 6 5
"cripple" 5 0
"crispdavos" 0 1
"criticize" 0 1
"crone" 0 1
"crops" 0 1
"cross" 6 2
"crossbow" 4 1
"crossroads" 2 0
"crossroadstwo" 1 0
"crouch" 2 0
"crow" 8 1
"crowd" 9 8
"crowdedint" 1 0
"crown" 11 6
"crowneuron" 0 1
"crucial" 1 0
"crucified" 1 1
"cruel" 3 1
"crueler" 1 0
"crumbles" 0 1
"crumpled" 0 1
"crush" 3 2
"cryingend" 1 0
"cryingint" 0 1
"crypt" 4 1
"cryptcut" 1 0
"cryptjaime" 0 1
"cryptjon" 1 0
"cub" 0 1
"cuffed" 0 1
"cum" 1 1
"cunt" 8 2
"cuntthoros" 1 0
"cup" 13 6
"cupcut" 1 0
"cure" 5 3
"curious" 4 1
"current" 7 0
"cursesam" 1 0
"curtsies" 1 0
"custom" 1 0
"cut" 40 33
"cutthroat" 1 2
"cynic" 3 0
"daario" 16 9
"daeneryss" 1 0
"daeneys" 0 1
"dagger" 12 5
"damn" 9 0
"dance" 2 3
"danger" 9 5
"dare" 2 0
"dark" 7 7
"darkcut" 0 1
"darling" 0 1
"darnell" 1 0
"daughter" 18 28
"daughtermace" 1 0
"davos" 33 25
"davosdolorous" 0 1
"dawn" 4 2
"dawnarya" 0 1
"day" 41 31
"dayarya" 1 0
"daybreak" 1 0
"daydream" 1 0
"dayjorah" 1 0
"daymace" 1 0
"daymatthos" 1 0
"dayne" 1 0
"daythe" 0 1
"dead" 72 31
"deadarya" 0 2
"deadmother" 0 1
"deadsandor" 1 0
"deadtyrion" 0 1
"deal" 9 2
"dear" 4 3
"dearolen" 0 1
"death" 24 14
"deathcut" 1 0
"debating" 1 0
"debrided" 1 0
"debt" 5 2
"decades" 1 0
"decanter" 1 0
"decapitated" 1 1
"deceive" 1 0
"decency" 0 2
"decent" 3 1
"decide" 14 4
"decidejaime" 1 0
"decision" 2 1
"deck" 0 3
"declare" 5 7
"decline" 0 1
"decree" 3 2
"dedicate" 1 0
"deem" 2 0
"deep" 7 0
"deeper" 2 0
"deepest" 1 0
"deepwater" 1 0
"deer" 1 0
"defeat" 14 5
"defeatedmelisandre" 0 1
"defeatsrobb" 1 0
"defend" 12 2
"defense" 4 0
"deflects" 0 1
"deft" 1 0
"dejectedly" 0 1
"delicious" 1 0
"delight" 1 0
"deliver" 1 1
"demand" 6 4
"demandsyara" 1 0
"demon" 6 0
"departure" 1 0
"depiction" 1 0
"depravity" 1 0
"depths" 1 0
"derryk" 0 1
"descend" 1 1
"desert" 2 2
"desertsome" 0 1
"deserve" 8 6
"deservejaime" 1 0
"desire" 1 4
"desireellaria" 0 1
"desiresjaqen" 0 1
"desk" 6 7
"despair" 0 1
"desperate" 3 0
"despise" 1 0
"despite" 1 1
"despots" 1 0
"destiny" 1 0
"destitute" 1 0
"destroy" 10 4
"destruction" 0 1
"detailed" 1 0
"determine" 0 1
"deterred" 1 0
"devastated" 1 0
"developing" 0 1
"devise" 0 1
"devote" 4 1
"devour" 2 0
"devout" 2 0
"dick" 3 0
"dickon" 4 0
"dictate" 1 0
"didnt" 39 25
