"Male" "Female"
"necessary" 0 1
"neck" 8 2
"neckdeep" 0 1
"necklace" 1 1
"ned" 15 4
"need" 105 68
"needle" 4 6
"negative" 1 0
"negotiate" 5 2
"neighborhood" 2 0
"neighs" 1 0
"neither" 8 5
"nephew" 2 0
"nephewtyrion" 1 0
"nephewwalder" 1 0
"nepoticide" 1 0
"nervous" 4 4
"network" 1 0
"never" 91 59
"neverramsay" 0 1
"new" 24 10
"newborn" 1 0
"newest" 1 0
"news" 4 1
"newsansa" 0 1
"next" 21 13
"nextannouncer" 1 0
"nibble" 1 0
"nice" 7 5
"nicelyarya" 0 1
"nickname" 1 0
"niece" 7 2
"niecejaime" 1 0
"night" 100 27
"nighta" 1 0
"nightarya" 0 1
"nightdothraki" 1 0
"nightfall" 1 0
"nightfallbrienne" 1 0
"nightmembers" 1 0
"nighttime" 0 1
"nighttyrion" 1 0
"nine" 3 0
"nobility" 2 0
"noble" 4 2
"noblemen" 0 1
"nock" 4 0
"nod" 37 16
"nodsint" 0 1
"noise" 2 1
"nonbelievers" 1 0
"none" 12 3
"nonejorah" 1 0
"nonsense" 5 1
"nonsensejon" 1 0
"noose" 2 0
"nope" 1 1
"nopetormund" 0 1
"normal" 2 0
"north" 71 36
"northcut" 2 0
"northern" 14 8
"northext" 0 1
"northint" 0 1
"northsansa" 1 0
"northtyrion" 1 0
"nose" 6 3
"nostril" 1 0
"notches" 2 0
"note" 3 1
"nothing" 42 36
"nothingcut" 0 1
"nothingdavos" 0 1
"nothingdoran" 0 1
"notice" 6 4
"notions" 1 0
"noun" 0 1
"novice" 1 0
"now" 145 53
"nowbrynden" 1 0
"nowcersei" 0 2
"nowcut" 0 3
"nowhandmaiden" 1 0
"nowhere" 3 1
"nowjon" 2 0
"nowkarsi" 1 0
"nowsandor" 1 0
"nowtormund" 1 0
"nudges" 2 0
"nudho" 1 2
"number" 9 5
"nurses" 1 0
"nymeria" 1 8
"nymeriaarya" 0 1
"oath" 9 1
"oathbreakers" 1 0
"oathkeeper" 2 1
"obara" 1 9
"oberyn" 6 10
"obey" 4 3
"object" 1 4
"obligejorah" 1 0
"obscure" 0 1
"observing" 1 0
"obsession" 1 0
"obvious" 3 2
"obviouslysamwell" 0 1
"occasion" 3 1
"occasionqyburn" 0 1
"occupied" 2 0
"occur" 6 0
"ocean" 4 2
"odd" 4 0
"oddsjaime" 1 0
"offend" 1 0
"offense" 2 0
"offer" 14 7
"officer" 1 0
"official" 2 0
"often" 4 3
"ohext" 1 0
"oil" 2 0
"ointment" 2 1
"old" 43 20
"older" 1 0
"oldest" 0 1
"oldext" 1 0
"oldtown" 4 3
"olen" 4 9
"olenna" 7 4
"olyvar" 5 0
"omen" 1 0
"one" 210 103
"oneaemons" 1 0
"onearya" 2 0
"onecersei" 0 1
"oneext" 0 1
"onehanded" 1 1
"onemarwyn" 1 0
"oneyara" 1 0
"onto" 8 8
"onward" 1 1
"onwardscut" 1 0
"open" 37 20
"opencut" 0 1
"openext" 1 0
"operate" 1 0
"opinion" 2 3
"opiniondavos" 1 0
"opponent" 2 0
"opportunity" 1 1
"oppose" 2 0
"opposite" 3 3
"option" 2 2
"oranges" 1 0
"order" 26 8
"orderskevin" 0 1
"orell" 1 0
"organized" 1 0
"original" 2 0
"orphan" 1 1
"orphanage" 1 0
"orson" 4 0
"osha" 7 2
"ostrich" 0 1
"others" 14 8
"otherwise" 3 0
"outdoors" 1 0
"outer" 8 0
"outfitted" 0 1
"outlaw" 2 1
"outlived" 0 1
"outnumber" 4 1
"outraged" 1 0
"outside" 21 6
"outsidearya" 0 1
"outskirts" 1 0
"outskirtsdavos" 0 1
"outskirtssandor" 1 0
"overboard" 1 0
"overboardtyrion" 1 0
"overestimated" 1 0
"overfeed" 0 1
"overhead" 1 1
"overlook" 1 1
"overnight" 1 0
"overprotective" 1 0
"oversaw" 0 1
"overseen" 0 1
"overtaken" 2 0
"overthrew" 0 1
"overthrow" 1 0
"overthrown" 1 0
"overturned" 1 0
"overwhelmed" 1 0
"owe" 5 3
"owedjaqen" 1 0
"owner" 1 0
"owns" 1 2
"oyster" 3 8
"pace" 4 1
"pack" 1 0
"packint" 1 0
"pact" 4 0
"paddling" 1 0
"paid" 5 3
"pain" 6 4
"painlesslyarya" 0 1
"paint" 7 2
"pair" 2 6
"palace" 1 1
"palaceareo" 0 1
"palacedoran" 1 0
"palacejaime" 0 1
"palance" 1 0
"palm" 1 0
"panic" 0 1
"panicked" 1 0
"pans" 3 2
"pants" 3 2
"paper" 3 2
"parading" 1 0
"paramount" 0 1
"parchment" 1 1
"pardon" 9 3
"parley" 3 0
"part" 16 7
"partially" 1 0
"particular" 2 1
"parties" 5 2
"partyext" 1 0
"pass" 16 5
"passage" 4 2
"passageway" 1 0
"passareo" 1 0
"passbenjen" 1 0
"past" 20 14
"pastberic" 1 0
"pat" 6 1
"patch" 4 0
"path" 10 5
"pathway" 1 0
"patience" 1 1
"patrol" 1 1
"pause" 13 4
"paws" 0 1
"pay" 13 6
"payments" 1 0
"payne" 2 0
"peach" 17 12
"pears" 1 0
"peasant" 3 2
"peck" 1 1
"pecker" 2 0
"peddlers" 1 0
"peels" 2 2
"peers" 0 1
"pen" 1 1
"penis" 1 0
"penitent" 0 1
"pentos" 1 0
"pentoshi" 1 0
"pentostyrion" 0 1
"people" 88 53
"peopleeveryone" 1 0
"peopleint" 1 0
"perfect" 5 2
"performs" 3 0
"perfumed" 1 0
"perhaps" 28 14
"perhapscut" 0 1
"perhapsdaario" 0 1
"perhapsmissandei" 1 0
"perimeter" 2 0
"period" 0 1
"perjured" 1 0
"permanent" 1 0
"permission" 3 1
"permitted" 1 2
"person" 21 9
"perspective" 5 0
"persuade" 2 3
"persuasive" 1 0
"perversion" 0 2
"pets" 0 1
"petyr" 3 3
"petyrrobin" 1 0
"petyryohn" 1 0
"pfft" 0 1
"pick" 23 7
"pickets" 1 0
"picture" 3 0
"picturesansa" 0 1
"pie" 5 11
"piearya" 0 1
"piece" 8 4
"pig" 1 0
"pigeon" 0 1
"pike" 1 0
"pile" 5 3
"pillars" 0 1
"pillow" 2 1
"pilosmarwyn" 1 0
"pinches" 1 0
"pins" 0 1
"pirates" 1 0
"piss" 5 3
"piston" 2 0
"pit" 16 13
"pitcher" 1 4
"pitjorah" 2 0
"pittwo" 0 1
"place" 49 17
"placegregor" 1 0
"plague" 1 0
"plan" 16 8
"planet" 1 0
"plant" 0 2
"plate" 4 0
"plateau" 2 2
"plateaugrey" 0 1
"platform" 1 8
"play" 13 10
"playingjaqen" 1 0
"plaything" 0 1
"pleads" 1 0
"pleasant" 1 1
"please" 23 14
"pleasecersei" 0 1
"pleasegrey" 0 1
"pleaseloras" 1 0
"pleasemelisandre" 0 1
"pleasetheon" 2 0
"pleaseyezzan" 1 0
"pleasure" 6 0
"pledge" 9 3
"plot" 2 0
"ploy" 1 0
"plums" 2 0
"plunged" 2 0
"poachers" 1 0
"pockets" 0 1
"pod" 2 8
"podbrienne" 0 1
"podrick" 10 10
"poetic" 1 1
"poets" 1 0
"point" 23 7
"pointjaqen" 1 0
"poison" 7 4
"poisonarya" 1 0
"pole" 1 0
"polished" 1 0
"politician" 0 1
"politics" 4 1
"polliver" 0 1
"polliverjaqen" 0 1
"pommel" 2 0
"ponder" 1 0
"pono" 1 0
"ponytail" 0 1
"pool" 2 4
"poolbran" 0 1
"poor" 4 4
"pop" 1 1
"popular" 2 0
"port" 1 2
"portan" 1 0
"porthole" 0 1
"portion" 1 0
"posion" 1 0
"position" 11 2
"possibly" 15 5
"postponed" 0 1
"posts" 1 0
"postures" 1 0
"potent" 1 0
"potential" 1 0
"potpie" 0 1
"pots" 1 0
"pouch" 1 1
"pound" 0 1
"pour" 17 6
"powder" 0 5
"power" 21 15
"powerless" 2 0
"practice" 1 2
"praise" 1 0
"prattling" 0 1
"pray" 1 3
"praycut" 0 1
"prayer" 2 1
"prayercersei" 1 0
"preaching" 1 0
"precious" 1 2
"precisely" 2 0
"predict" 1 0
"prefer" 6 1
"pregnant" 2 2
"prepare" 14 3
"prerogative" 1 0
"presence" 3 2
"present" 4 2
"preside" 0 2
"press" 1 0
"presume" 3 1
"pretend" 0 2
"prettier" 6 7
"prettywalder" 1 0
"prevents" 1 0
"previously" 1 0
"prey" 2 0
"price" 1 1
"prick" 1 0
"pride" 2 4
"priest" 5 1
"priestess" 3 0
"prince" 14 11
"princedoran" 0 1
"princess" 11 4
"princessbrienne" 1 0
"princessdavos" 1 0
"princessobara" 0 1
"princesss" 2 0
"prison" 14 3
"private" 3 0
"privilege" 1 1
"prize" 2 1
"probably" 6 3
"problem" 3 1
"problemnymeria" 0 1
"problemtyrion" 1 0
"procedure" 3 0
"proceed" 6 2
"proclaim" 1 0
"produce" 4 1
"profaned" 1 0
"profession" 1 0
"progress" 1 1
"prominent" 0 1
"promise" 13 30
"promiseint" 0 1
"promiseshireen" 0 1
"prone" 1 0
"pronounce" 1 1
"proof" 3 0
"proofread" 1 0
"prop" 1 1
"proper" 7 6
"prophecies" 2 5
"propose" 7 2
"proposition" 3 0
"prospect" 1 0
"prosper" 3 1
"prostitute" 11 0
"protect" 16 23
"protector" 2 2
"protectorellaria" 0 1
"proud" 8 2
"prove" 6 1
"proven" 1 2
"provide" 4 3
"provisioned" 2 0
"publicly" 1 1
"puff" 1 0
"pukes" 2 0
"pull" 27 15
"punch" 5 3
"punish" 10 7
"puppet" 1 0
"pure" 2 1
"puremaybe" 0 1
"purest" 0 1
"purple" 0 1
"purpose" 5 4
"purse" 1 1
"pursuits" 1 0
"purveyor" 1 0
"pus" 1 0
"push" 14 5
"put" 41 27
"pycelle" 10 2
"pyke" 5 0
"pylos" 1 0
"pyramid" 11 3
"pyramidext" 1 0
"pyramidtyrion" 1 0
"pyramind" 0 1
"pyre" 3 1
"qotho" 1 0
"qualified" 0 2
"qualities" 2 2
"quarantine" 6 0
"quartering" 1 0
"quartersgrey" 0 1
"quartersjaime" 0 1
"quartersyara" 0 1
"queen" 85 64
"queencersei" 1 1
"queengrey" 1 0
"queenint" 1 0
"queenjorah" 1 0
"queensguard" 1 2
"queentheon" 1 0
"queentyrion" 1 1
"question" 17 3
"questioncut" 0 1
"queue" 1 0
"quick" 7 3
"quicksand" 1 0
"quiet" 2 2
"quietcersei" 0 1
"quit" 16 11
"qyburn" 21 9
"rack" 0 1
"rag" 3 1
"rage" 2 0
"ragingcut" 1 0
"ragman" 3 1
"raid" 2 0
"railing" 2 0
"rain" 1 1
"raise" 17 6
"rakharo" 0 4
"rallied" 6 1
"ram" 2 0
"ramparts" 2 0
"ramsay" 53 30
"ramsaybaelish" 1 0
"ran" 0 1
"randyll" 6 2
"ranged" 3 0
"ranger" 3 0
"ranking" 1 0
"rape" 6 4
"rare" 4 0
"rarest" 1 0
"rasher" 0 1
"rat" 0 3
"rates" 1 0
"rather" 10 5
"rational" 1 0
"rattle" 1 1
"raven" 21 12
"ravenold" 1 0
"ravishing" 1 0
"ray" 5 0
"rayder" 7 0
"razdal" 1 0
"razor" 2 0
"reach" 21 16
"read" 17 11
"reading" 19 8
"readycut" 1 0
"real" 14 2
"realize" 6 4
"reallyjaime" 1 0
"reallysandor" 1 0
"realm" 8 1
"rear" 1 0
"reason" 18 6
"reaver" 1 1
"rebel" 6 2
"rebellion" 4 1
"reborn" 1 0
"rebuilding" 1 0
"recall" 2 0
"receive" 5 3
"recently" 1 0
"reckless" 2 0
"reckoned" 2 0
"reclaim" 1 1
"recognize" 6 2
"recoils" 2 1
"recommend" 1 0
"reconquer" 1 0
"reconsidered" 1 0
"record" 2 2
"recover" 1 1
"recruit" 1 0
"red" 35 25
"redeeming" 1 0
"redheadstwo" 1 0
"reed" 0 1
"reek" 22 1
"reekext" 1 0
"reeksansa" 1 0
"reels" 0 1
"reestablishing" 0 1
"refers" 0 1
"refill" 1 0
"reflection" 1 1
"reformed" 0 1
"refugees" 1 0
"refuse" 11 4
"regards" 4 1
"regardscut" 1 0
"regent" 3 1
"regicide" 1 0
"region" 1 0
"regret" 0 3
"regroup" 0 1
"regularly" 1 0
"reign" 1 1
"reinforced" 1 0
"reins" 2 0
"reject" 1 0
"relation" 3 0
"release" 11 6
"relief" 1 1
"religion" 2 1
"reluctantly" 1 0
"remain" 11 5
"remainder" 1 0
"remarried" 0 2
"remember" 30 29
"rememberint" 0 1
"remind" 4 4
"remove" 14 7
"renly" 9 10
"renlybrienne" 1 0
"renounce" 2 0
"reopen" 1 3
"repair" 2 1
"repeatedly" 3 2
"repellent" 0 1
"repent" 0 1
"replace" 1 1
"replyroose" 1 0
"report" 3 1
"represent" 2 3
"repulsive" 3 0
"reputation" 1 1
"request" 2 1
"require" 1 0
"rescue" 3 2
"research" 2 0
"resembles" 4 1
"reserved" 1 0
"reset" 0 1
"resist" 1 1
"resources" 0 1
"respect" 14 10
"respond" 1 1
"response" 6 3
"rest" 25 10
"restore" 3 0
"restraint" 3 2
"results" 1 0
"resume" 3 1
"retaken" 1 1
"retribution" 1 0
"retrieves" 4 2
"return" 38 19
"returnbaelish" 0 1
"reunited" 1 0
"reveal" 16 7
"revenge" 2 1
"reversals" 1 0
"revoke" 1 0
"revolt" 1 0
"revoltionariestycho" 0 1
"reward" 6 3
"rhaegal" 7 2
"rhaegar" 3 2
"rhaegon" 0 1
"rhaenyra" 0 1
"rhoyne" 1 0
"rich" 5 1
"richer" 1 0
"richest" 0 1
"rickon" 8 7
"rid" 1 1
"ride" 35 18
"rider" 12 8
"ridge" 1 0
"ridiculous" 0 1
"right" 86 32
"rightcut" 0 1
"righteousness" 0 1
"rightmelisandre" 0 1
"rightnymeria" 0 1
"righttyrion" 1 0
"ring" 10 4
"riot" 1 0
"rip" 6 0
"ripe" 2 0
"ripples" 1 0
"rise" 8 4
"risen" 2 0
"risk" 4 5
"rites" 1 0
"ritual" 1 0
"rival" 3 4
"river" 6 2
"riverlands" 8 1
"riverlandsarya" 1 0
"riverlandsjaime" 1 0
"riverrun" 21 6
"riverruncut" 0 1
"road" 11 1
"roar" 6 3
"roasted" 0 1
"rob" 1 1
"robb" 12 6
"robert" 12 5
"robes" 1 1
"robett" 1 1
"robin" 2 0
"rock" 26 7
"rocklannister" 1 0
"rocktyrion" 2 0
"rode" 2 1
"rodrick" 0 3
"rodrik" 2 0
"rokharo" 0 1
"role" 2 1
"rolesdoran" 1 0
"roll" 8 1
"romantic" 1 0
"roof" 3 0
"room" 57 51
"rooma" 1 0
"roomaemon" 1 0
"roomarya" 1 2
"roomcersei" 1 2
"roomclose" 1 0
"roomcut" 1 0
"roomdavos" 1 0
"roomdolorous" 1 0
"roomdoran" 0 1
"roomext" 2 1
"roomint" 0 2
"roomjaime" 1 0
"roomjon" 3 0
"roommissandei" 1 0
"roommyrandas" 1 0
"roomramsay" 1 1
"roomsa" 1 0
"roomsansa" 1 0
"roomsarchmaester" 2 0
"roomshae" 1 0
"roomstannis" 0 1
"roomthe" 0 1
"roomtheon" 0 1
"roomtyrion" 0 1
"roose" 12 9
"root" 7 0
"rope" 2 2
"rorge" 1 1
"rose" 1 3
"rot" 4 3
"rough" 1 0
"round" 0 2
"route" 2 0
"row" 2 2
"rowboatcut" 1 0
"royal" 5 2
"royce" 7 5
"rubble" 0 1
"rubs" 1 1
"ruin" 4 1
"rule" 25 11
"ruledtyrion" 1 0
"ruler" 17 1
"rum" 1 2
"rummage" 1 0
"rumor" 3 2
"run" 44 10
"rush" 12 3
"saan" 6 0
"sack" 1 1
"sacred" 3 1
"sacrifice" 2 3
"sad" 3 3
"saddle" 0 1
"sadwaif" 0 1
"safe" 18 16
"safekeeping" 1 0
"safer" 2 0
"safest" 1 1
"said" 45 38
"saidarya" 0 1
"sail" 19 4
"sailors" 1 0
"sailsdaario" 1 0
"sake" 3 1
"sakedavos" 1 0
"salladhor" 3 0
"salt" 3 3
"sam" 29 31
"samsam" 1 0
"samwell" 24 5
"samwellsamwell" 1 0
"sanction" 0 1
"sand" 7 7
"sandor" 27 1
"sandstone" 1 0
"sang" 0 1
"sansa" 66 51
"sansatheon" 1 0
"sat" 2 1
"satchel" 0 1
"satisfies" 1 0
"sausage" 0 1
"savages" 3 0
"save" 22 13
"savior" 2 0
"saviour" 2 0
"saw" 54 17
"sawned" 1 0
"say" 87 49
"scabbard" 0 1
"scale" 6 0
"scalpel" 2 0
"scans" 1 0
"scar" 1 1
"scare" 3 7
"scattered" 1 0
"scene" 3 1
"scent" 1 1
"schemers" 1 0
"school" 1 0
"scoffs" 3 3
"sconces" 0 1
"scorpion" 1 2
"scour" 1 0
"scourged" 0 1
"scouts" 2 0
"scrap" 1 0
"scream" 7 10
"screamer" 1 0
"screamingint" 0 1
"screamsamwell" 1 0
"screamscut" 0 1
"screech" 0 2
"screen" 4 1
"scribbled" 0 1
"scroll" 8 1
"scrub" 3 5
"scrunches" 1 2
"scum" 2 0
"sea" 20 15
"seaext" 0 1
"seajorah" 0 1
"seal" 2 1
"search" 2 0
"seat" 9 4
"seaweed" 1 0
"seaworth" 3 0
"second" 14 3
"secret" 6 4
"section" 1 0
"secure" 1 1
"seduced" 1 0
"see" 107 68
"seearyas" 0 1
"seedavos" 1 0
"seeds" 1 0
"seeint" 0 1
"seejaime" 1 0
"seejon" 1 0
"seek" 2 0
"seem" 20 12
"seen" 42 23
"seesandors" 1 0
"seize" 1 4
"selfinterest" 2 0
"selfmade" 0 1
"selfsacrifice" 1 0
"sell" 4 2
"selyse" 0 4
"send" 21 17
"sense" 6 0
"sensitive" 0 2
"sent" 16 6
"sentence" 3 2
"sept" 18 22
"septa" 0 15
"septon" 10 12
"ser" 59 31
"sergregor" 1 0
"seriously" 2 1
"servant" 14 5
"serve" 40 24
"serveint" 0 1
"service" 8 5
"set" 26 13
"settle" 2 0
"seven" 40 26
"sevenpointed" 0 1
"several" 9 5
"sewers" 1 1
"sex" 2 1
"sexint" 0 1
"shackle" 3 0
"shacklittlefinger" 0 1
"shadow" 7 9
"shae" 2 0
"shagged" 0 1
"shaggydog" 1 1
"shake" 10 7
"shaken" 1 0
"shakencut" 1 0
"shall" 11 10
"sham" 1 0
"shame" 5 0
"shamecersei" 0 2
"shamesepta" 0 1
"shape" 1 0
"shard" 2 0
"share" 3 1
"shareobara" 0 1
"shark" 2 0
"sharp" 2 0
"sharpening" 0 2
"shatter" 2 0
"shaved" 1 0
"shavetyrion" 1 0
"sheaths" 2 1
"shed" 1 1
"sheelba" 1 0
"sheep" 3 2
"sheer" 1 0
"sheet" 0 2
"sheila" 1 0
"shelf" 2 0
"shell" 3 0
"shelter" 2 1
"shelves" 0 1
"shes" 20 10
"shh" 5 3
"shhh" 1 0
"shield" 23 2
"shifts" 2 0
"shines" 0 1
"ship" 40 18
"shipellaria" 0 1
"shipnearly" 0 1
"shiptyrion" 0 1
"shireen" 5 9
"shirt" 3 0
"shirtsamwell" 1 0
"shit" 21 3
"shitpile" 1 0
"shitshae" 0 1
"shittingtormund" 1 0
"shivering" 1 1
"shock" 9 2
"shoeless" 0 1
"shoes" 0 1
"shoot" 2 2
"shopjon" 1 0
"shops" 1 0
"shore" 7 5
"shorejorah" 1 0
"shorelinea" 1 0
"short" 3 3
"shorter" 2 0
"shot" 5 2
"shoulder" 10 7
"shouldercut" 2 0
"shouldve" 2 1
"shout" 7 2
"shove" 3 0
"shoveling" 2 0
"show" 14 11
"shown" 4 2
"shriek" 2 1
"shrouds" 0 1
"shut" 7 8
"shutend" 0 1
"sick" 4 2
"sicksamwell" 0 1
"side" 36 13
"sidepetyr" 1 0
"siderakharo" 0 1
"siege" 12 1
"sighs" 8 1
"sighscut" 2 0
"sight" 2 2
"sightext" 0 1
"sigil" 2 3
"sign" 1 7
"signal" 0 1
"signature" 1 0
"significant" 1 0
"silence" 5 0
"silent" 1 5
"silver" 2 1
"silverware" 1 0
"similar" 2 0
"simple" 4 2
"simplest" 1 0
"since" 16 8
"sincebeat" 0 1
"sing" 11 5
"singer" 1 1
"single" 5 3
"sink" 1 2
"sinner" 1 1
"sinsjaime" 1 0
"sip" 11 6
"sir" 1 1
"sired" 1 0
"sirramsay" 0 1
"sister" 30 12
"sistercersei" 0 1
"sit" 78 46
"situation" 3 0
"six" 7 0
"size" 4 0
"skeleton" 1 0
"skeptical" 2 0
"skill" 3 0
"skin" 8 5
"skincut" 1 0
"skips" 0 1
"skull" 6 1
"skullcersei" 0 1
"sky" 2 5
"slab" 1 0
"slack" 0 1
"slain" 1 0
"slams" 0 1
"slaps" 5 5
"slashes" 2 0
"slaughter" 6 2
"slaughterhouse" 1 0
"slave" 17 9
"slaveholders" 1 0
"slaver" 8 5
"slavetyrion" 0 1
"slayer" 2 0
"sledge" 1 0
"sleekest" 1 0
"sleep" 11 6
"sleeve" 5 0
"slept" 1 0
"slice" 3 0
"slide" 1 2
"slips" 0 1
"slithering" 0 1
"slits" 2 1
"slow" 3 1
"slowbronn" 1 0
"slower" 0 1
"slownymeria" 0 1
"sluttyene" 0 1
"slynt" 3 2
"smacks" 0 3
"small" 17 15
"smaller" 6 0
"smalljon" 7 3
"smart" 8 2
"smartdavos" 1 0
"smartest" 1 0
"smash" 8 0
"smell" 5 3
"smile" 28 27
"smilecut" 0 1
"smilesint" 1 1
"smirkingcut" 1 0
"smirks" 5 3
"smoke" 4 1
"smoothing" 0 1
"smug" 2 1
"smuggle" 1 1
"smuglyint" 0 1
"snake" 9 8
"snap" 1 3
"snarks" 1 1
"snarls" 0 1
"sneak" 6 0
"sneer" 1 0
"sneerjon" 1 0
"sniffs" 1 4
"sniggering" 1 0
"snow" 93 40
"snowdavos" 1 0
"snowdolorous" 1 0
"snowing" 1 0
"snowjons" 0 1
"soaking" 1 0
"sob" 2 1
"socket" 1 1
"soft" 2 0
"softer" 1 0
"soiling" 1 0
"sold" 6 4
"soldier" 27 11
"soldierscut" 1 0
"sole" 1 0
"solemn" 0 1
"solution" 1 0
"somehow" 4 0
"someone" 28 17
"someonearya" 2 0
"something" 40 16
"sometime" 8 11
"somewhat" 1 0
"somewhere" 6 3
"son" 69 34
"song" 3 4
"sonsamwell" 0 1
"sonsint" 3 0
"sontrystane" 1 0
"sontyrion" 1 0
"soon" 16 12
"soonbronn" 1 0
"sooner" 2 3
"soothe" 1 0
"sorrily" 30 13
"sorryjon" 0 1
"sort" 7 3
"sought" 1 1
"soul" 0 3
"sound" 14 12
"soup" 1 2
"sour" 1 0
"source" 2 0
"south" 20 5
"southellaria" 0 1
"southern" 14 0
"southsansa" 1 0
"souvenir" 1 0
"space" 0 1
"spacecut" 1 0
"spar" 3 2
"spare" 3 2
"spark" 1 0
"sparringint" 0 1
"sparrow" 15 26
"sparrowext" 0 1
"sparrowint" 0 1
"spat" 1 0
"speak" 40 41
"speakcut" 0 1
"spear" 13 1
"spearbearing" 1 0
"spearman" 1 0
"spearnymeria" 0 1
"special" 1 1
"specific" 0 1
"speech" 1 1
"speechjon" 0 1
"spells" 1 1
"spend" 10 2
"spent" 5 2
"spider" 0 1
"spike" 0 2
"spills" 2 0
"spineellaria" 0 1
"spirits" 0 1
"spit" 5 3
"splash" 1 0
"splatter" 1 1
"split" 3 0
"spoil" 0 1
"spoke" 6 4
"spoken" 1 2
"spoon" 0 5
"sport" 0 1
"spot" 16 2
"sprawls" 1 0
"spread" 4 2
"spring" 1 0
"sprints" 0 1
"sputters" 0 1
"squabbling" 1 0
"squalling" 1 0
"square" 3 0
"squatting" 1 0
"squire" 9 6
"stab" 20 3
"stable" 1 4
"stack" 5 1
"staff" 1 16
"stag" 1 3
"stagint" 0 1
"staircase" 0 1
"stairs" 11 4
"stake" 0 1
"stall" 1 0
"stallion" 1 1
"stammers" 1 1
"stamped" 0 1
"stancepodrick" 1 0
"stances" 0 1
"stand" 95 76
"standstill" 1 0
"stannis" 46 26
"stanniscut" 1 0
"stanniss" 2 4
"star" 1 4
"stare" 39 19
"stark" 75 41
"starkcut" 0 1
"starkint" 1 0
"starksmalljoy" 1 0
"start" 50 25
"startrakharo" 1 0
"starvation" 0 1
"starve" 5 6
"state" 2 0
"statement" 1 2
"stations" 1 0
"statue" 4 3
"statuette" 0 1
"staves" 0 2
"stay" 30 21
"stead" 2 0
"steal" 3 3
"steel" 5 2
"steers" 0 2
"step" 32 22
"stepext" 0 1
"stepmother" 0 1
"stepscut" 1 1
"stepslancel" 1 0
"steward" 2 0
"stewmaester" 1 0
"stick" 5 6
"still" 48 24
"stillborns" 0 1
"stink" 2 3
"stir" 1 1
"stitching" 0 1
"stocking" 1 0
"stokeworth" 0 1
"stole" 5 1
"stolen" 2 2
"stomach" 1 3
"stomps" 1 0
"stone" 19 7
"stonespear" 1 0
"stood" 1 1
"stool" 1 3
"stop" 55 27
"stoptheon" 0 1
"stores" 0 1
"stories" 13 8
"storm" 15 0
"stormborn" 6 4
"stormcrows" 1 0
"stormeuron" 1 0
"stormlands" 1 0
"storrolds" 1 0
"storyshireen" 1 0
"straight" 3 0
"straightens" 1 0
"strain" 1 1
"strange" 4 7
"stranger" 2 3
"strap" 2 1
"strategies" 2 1
"stream" 2 1
"street" 14 6
"streeta" 0 1
"streetbells" 0 1
"streetthe" 0 1
"strength" 4 2
"stretch" 2 2
"stretcher" 1 0
"stretchercut" 0 1
"strike" 2 6
"string" 1 0
"strip" 1 1
"stroke" 2 0
"strong" 8 7
"stronger" 1 2
"struck" 4 1
"structure" 0 1
"struggles" 4 2
"stubborn" 4 0
"stuck" 3 1
"studied" 6 0
"stuff" 1 1
"stumble" 1 0
"stunned" 1 0
"stupid" 7 11
"stupidtrystane" 1 0
"style" 1 0
"stylist" 1 0
"subdues" 0 1
"subjects" 1 0
"submit" 0 1
"substantial" 1 0
"subvert" 1 0
"succeed" 1 2
"successful" 3 0
"suck" 3 0
"suddenly" 6 3
"sue" 1 1
"suffer" 10 4
"sufficient" 1 1
"suggest" 6 2
"suicide" 1 0
"suit" 2 4
"suitable" 2 0
"suitor" 0 1
"sullen" 1 0
"summer" 3 3
"summit" 1 0
"summon" 5 1
"sums" 1 0
"sun" 3 1
"sung" 1 0
"sunk" 2 0
"sunrisearya" 0 1
"sunset" 1 0
"sunsnake" 1 0
"sunspear" 3 2
"superstition" 4 0
"supervising" 0 1
"supper" 0 2
"suppercut" 1 0
"supplies" 4 1
"support" 12 4
"supporterjorah" 1 0
"suppose" 20 3
"sure" 31 21
"suresam" 0 1
"surprise" 5 4
"surrender" 9 3
"surrenderbrynden" 1 0
"surrenderramsay" 1 0
"surround" 12 6
"survive" 9 9
"suspect" 2 0
"suspend" 1 0
"swaddling" 1 0
"swann" 2 0
"swathe" 2 0
"swaying" 1 0
"swear" 13 9
"sweat" 1 0
"sweep" 0 3
"sweet" 3 7
"sweeter" 1 0
"sweetest" 0 1
"swiftly" 1 0
"swim" 1 1
"swing" 6 9
"swipes" 1 0
"switch" 1 1
"sword" 62 22
"swordcut" 0 1
"swordrandyll" 1 0
"swordsam" 0 1
"swordsman" 1 0
"swore" 9 9
"sworn" 8 2
"sycophants" 1 0
"sympathetically" 1 0
"sympathies" 2 0
"syrio" 0 1
"system" 1 0
"table" 44 29
"tablecut" 1 0
"tabletyrion" 1 0
"tackles" 0 1
"tags" 0 2
"take" 128 81
"taken" 15 9
"takentyrion" 1 0
"tale" 3 0
"talent" 1 0
"talk" 45 24
"talker" 1 0
"talkerramsay" 1 0
"talkersam" 0 1
"talkint" 1 0
"talksyoung" 1 0
"tall" 3 2
"talla" 0 1
"tallest" 1 0
"tamsay" 0 1
"tangled" 1 0
"targaryen" 16 10
"target" 0 1
"tarley" 11 2
"tarleycersei" 1 0
"tarleycut" 1 0
"tarlysam" 1 0
"tart" 5 2
"tarth" 3 3
"tarttongued" 0 1
"task" 0 1
"taste" 3 1
"taught" 4 5
"tavern" 2 0
"taxes" 2 0
